Lottery Date,Lottery Numbers
 Saturday4th November 2000 , 2 8 17 29 33 44 11 
 Wednesday1st November 2000 , 4 9 20 23 38 45 47 
 Saturday28th October 2000 , 1 13 14 23 31 47 9 
 Wednesday25th October 2000 , 6 9 13 14 26 38 22 
 Saturday21st October 2000 , 8 14 15 18 24 44 31 
 Wednesday18th October 2000 , 4 6 11 19 32 36 23 
 Saturday14th October 2000 , 7 22 31 37 38 40 30 
 Wednesday11th October 2000 , 6 10 19 30 34 41 26 
 Saturday7th October 2000 , 1 6 20 28 31 45 26 
 Wednesday4th October 2000 , 10 14 19 43 46 49 2 
 Saturday30th September 2000 , 12 15 27 32 40 44 35 
 Wednesday27th September 2000 , 4 10 24 28 40 47 25 
 Saturday23rd September 2000 , 6 16 18 32 35 45 46 
 Wednesday20th September 2000 , 7 25 30 34 38 39 28 
 Saturday16th September 2000 , 4 22 23 26 42 47 5 
 Wednesday13th September 2000 , 14 20 25 32 47 49 34 
 Saturday9th September 2000 , 3 4 24 25 35 43 7 
 Wednesday6th September 2000 , 6 7 11 23 32 44 34 
 Saturday2nd September 2000 , 11 12 21 31 36 40 22 
 Wednesday30th August 2000 , 13 21 24 38 40 41 9 
 Saturday26th August 2000 , 4 11 16 29 34 35 13 
 Wednesday23rd August 2000 , 3 31 32 37 38 47 20 
 Saturday19th August 2000 , 5 22 34 38 43 46 9 
 Wednesday16th August 2000 , 11 24 33 34 37 45 43 
 Saturday12th August 2000 , 6 31 35 36 43 46 33 
 Wednesday9th August 2000 , 10 14 32 35 36 43 37 
 Saturday5th August 2000 , 1 3 35 37 39 48 26 
 Wednesday2nd August 2000 , 26 35 38 39 44 46 1 
 Saturday29th July 2000 , 29 30 33 37 45 48 15 
 Wednesday26th July 2000 , 2 28 29 40 43 47 30 
 Saturday22nd July 2000 , 13 16 43 45 47 48 36 
 Wednesday19th July 2000 , 16 23 31 33 38 41 20 
 Saturday15th July 2000 , 1 2 7 35 39 44 14 
 Wednesday12th July 2000 , 4 12 21 27 41 49 40 
 Saturday8th July 2000 , 21 30 35 38 41 46 26 
 Wednesday5th July 2000 , 6 11 19 23 25 28 35 
 Saturday1st July 2000 , 11 16 22 39 42 48 38 
