Lottery Date,Lottery Numbers
 Wednesday17th June 2009 , 8 10 11 14 28 36 18 
 Saturday13th June 2009 , 1 13 18 36 43 48 2 
 Wednesday10th June 2009 , 3 8 21 23 30 46 26 
 Saturday6th June 2009 , 6 14 32 35 41 42 43 
 Wednesday3rd June 2009 , 4 6 22 31 33 35 3 
 Saturday30th May 2009 , 2 5 19 20 33 43 32 
 Wednesday27th May 2009 , 2 12 24 31 41 48 40 
 Saturday23rd May 2009 , 12 17 32 41 44 48 15 
 Wednesday20th May 2009 , 9 10 30 37 45 46 29 
 Saturday16th May 2009 , 1 5 9 27 42 45 21 
 Wednesday13th May 2009 , 13 16 19 31 37 47 5 
 Saturday9th May 2009 , 6 9 28 31 37 42 12 
 Wednesday6th May 2009 , 1 8 10 13 20 34 28 
 Saturday2nd May 2009 , 10 17 25 32 34 40 20 
 Wednesday29th April 2009 , 1 15 35 42 45 48 38 
 Saturday25th April 2009 , 7 14 17 39 41 49 29 
 Wednesday22nd April 2009 , 11 21 34 42 43 45 20 
 Saturday18th April 2009 , 13 24 33 35 42 49 37 
 Wednesday15th April 2009 , 5 9 18 23 31 39 37 
 Saturday11th April 2009 , 6 11 24 30 32 45 3 
 Wednesday8th April 2009 , 8 10 21 23 25 48 3 
 Saturday4th April 2009 , 11 18 28 32 36 39 21 
 Wednesday1st April 2009 , 3 5 14 19 24 40 38 
 Saturday28th March 2009 , 2 17 19 28 31 47 14 
 Wednesday25th March 2009 , 13 23 26 27 37 49 47 
 Saturday21st March 2009 , 1 31 32 33 36 38 8 
 Wednesday18th March 2009 , 2 5 22 25 39 41 27 
 Saturday14th March 2009 , 9 16 25 29 31 37 24 
 Wednesday11th March 2009 , 6 9 20 21 31 34 48 
 Saturday7th March 2009 , 6 21 30 32 33 44 35 
 Wednesday4th March 2009 , 3 21 25 32 37 46 15 
 Saturday28th February 2009 , 6 25 33 37 42 43 23 
 Wednesday25th February 2009 , 6 19 25 32 37 39 21 
 Saturday21st February 2009 , 18 22 26 42 45 46 44 
 Wednesday18th February 2009 , 5 23 24 29 39 44 26 
 Saturday14th February 2009 , 2 4 17 19 38 45 15 
 Wednesday11th February 2009 , 9 14 16 38 46 47 11 
 Saturday7th February 2009 , 3 7 24 25 26 41 28 
 Wednesday4th February 2009 , 4 24 31 33 36 40 25 
 Saturday31st January 2009 , 1 4 13 15 35 38 39 
 Wednesday28th January 2009 , 4 29 37 39 40 43 9 
 Saturday24th January 2009 , 24 25 26 38 39 40 3 
 Wednesday21st January 2009 , 3 25 28 29 32 45 48 
 Saturday17th January 2009 , 1 7 9 33 36 38 39 
 Wednesday14th January 2009 , 3 18 28 37 39 42 40 
 Saturday10th January 2009 , 5 8 11 15 38 45 21 
 Wednesday7th January 2009 , 1 8 27 32 39 45 7 
 Saturday3rd January 2009 , 9 19 36 37 39 49 10 
 Wednesday29th December 2010 , 2 3 16 26 34 39 49 
 Saturday25th December 2010 , 13 15 22 25 33 34 17 
 Wednesday22nd December 2010 , 7 13 33 37 48 49 20 
 Saturday18th December 2010 , 9 21 35 38 46 49 40 
 Wednesday15th December 2010 , 6 9 31 33 40 45 41 
 Saturday11th December 2010 , 11 15 24 33 43 49 27 
 Wednesday8th December 2010 , 14 16 23 24 25 43 48 
 Saturday4th December 2010 , 4 15 19 44 45 49 11 
 Wednesday1st December 2010 , 20 21 22 24 27 34 29 
 Saturday27th November 2010 , 4 10 18 41 42 47 8 
 Wednesday24th November 2010 , 11 30 38 45 46 49 37 
 Saturday20th November 2010 , 6 7 8 17 27 46 29 
 Wednesday17th November 2010 , 3 6 27 29 33 41 8 
 Saturday13th November 2010 , 5 11 29 31 35 39 45 
 Wednesday10th November 2010 , 15 26 30 35 40 41 34 
 Saturday6th November 2010 , 12 22 30 31 34 39 36 
 Wednesday3rd November 2010 , 13 21 28 37 39 45 6 
 Saturday30th October 2010 , 2 22 32 33 37 45 11 
 Wednesday27th October 2010 , 3 5 11 16 41 48 32 
 Saturday23rd October 2010 , 2 3 14 29 35 42 12 
 Wednesday20th October 2010 , 14 30 31 36 44 47 26 
 Saturday16th October 2010 , 6 30 34 38 45 48 32 
 Wednesday13th October 2010 , 18 19 24 26 27 44 8 
 Saturday9th October 2010 , 5 11 19 29 33 35 46 
 Wednesday6th October 2010 , 9 17 18 23 30 35 14 
 Saturday2nd October 2010 , 10 16 25 26 32 40 46 
 Wednesday29th September 2010 , 21 25 29 32 38 44 14 
 Saturday25th September 2010 , 19 22 30 33 35 39 5 
 Wednesday22nd September 2010 , 9 12 27 29 41 47 19 
 Saturday18th September 2010 , 4 5 16 17 20 32 3 
 Wednesday15th September 2010 , 2 20 33 40 43 46 14 
 Saturday11th September 2010 , 4 20 21 35 39 40 28 
 Wednesday8th September 2010 , 8 10 26 34 48 49 6 
 Saturday4th September 2010 , 16 19 26 27 41 47 34 
 Wednesday1st September 2010 , 7 20 21 27 28 41 4 
 Saturday28th August 2010 , 3 17 32 35 43 49 27 
 Wednesday25th August 2010 , 5 10 12 17 28 30 47 
 Saturday21st August 2010 , 8 15 19 26 33 36 1 
 Wednesday18th August 2010 , 2 13 16 24 25 40 18 
 Saturday14th August 2010 , 5 13 17 31 42 46 4 
 Wednesday11th August 2010 , 4 21 25 27 31 34 45 
 Saturday7th August 2010 , 13 16 22 25 31 39 7 
 Wednesday4th August 2010 , 14 17 22 24 38 43 21 
 Saturday31st July 2010 , 10 24 30 33 40 45 16 
 Wednesday28th July 2010 , 1 11 33 37 42 43 19 
 Saturday24th July 2010 , 24 26 33 35 43 44 27 
 Wednesday21st July 2010 , 8 16 25 27 28 34 32 
 Saturday17th July 2010 , 15 28 32 43 44 45 20 
 Wednesday14th July 2010 , 1 15 25 26 40 43 16 
 Saturday10th July 2010 , 3 5 30 31 38 47 37 
 Wednesday7th July 2010 , 23 29 34 36 41 45 22 
 Saturday3rd July 2010 , 8 31 37 43 44 48 14 
 Wednesday30th June 2010 , 6 18 20 25 35 36 31 
 Saturday26th June 2010 , 18 26 33 35 37 47 3 
 Wednesday23rd June 2010 , 5 9 13 17 22 27 30 
 Saturday19th June 2010 , 34 37 39 41 42 47 45 
 Wednesday16th June 2010 , 4 8 32 34 40 47 16 
 Saturday12th June 2010 , 1 16 17 19 33 34 9 
 Wednesday9th June 2010 , 14 26 33 45 46 49 30 
 Saturday5th June 2010 , 5 22 23 24 26 29 31 
 Wednesday2nd June 2010 , 2 12 17 25 33 39 1 
 Saturday29th May 2010 , 2 17 36 39 42 48 41 
 Wednesday26th May 2010 , 2 4 5 19 20 27 21 
 Saturday22nd May 2010 , 1 4 16 37 47 49 27 
 Wednesday19th May 2010 , 15 23 24 34 36 47 44 
 Saturday15th May 2010 , 1 4 24 26 27 48 28 
 Wednesday12th May 2010 , 11 17 19 40 44 45 16 
 Saturday8th May 2010 , 1 26 28 32 46 48 10 
 Wednesday5th May 2010 , 3 6 8 10 36 47 2 
 Saturday1st May 2010 , 6 15 28 29 30 47 19 
 Wednesday28th April 2010 , 5 11 19 23 38 46 34 
 Saturday24th April 2010 , 1 4 12 23 33 40 35 
 Wednesday21st April 2010 , 2 10 16 19 33 45 30 
 Saturday17th April 2010 , 3 10 29 31 36 44 45 
 Wednesday14th April 2010 , 2 6 8 23 44 46 37 
 Saturday10th April 2010 , 6 9 11 21 40 48 27 
 Wednesday7th April 2010 , 8 11 20 33 43 47 49 
 Saturday3rd April 2010 , 8 9 19 28 31 37 45 
 Wednesday31st March 2010 , 14 18 29 38 43 44 13 
 Saturday27th March 2010 , 6 11 15 32 38 42 24 
 Wednesday24th March 2010 , 3 5 23 28 42 49 41 
 Saturday20th March 2010 , 5 11 13 18 25 46 26 
 Wednesday17th March 2010 , 16 30 34 37 41 42 5 
 Saturday13th March 2010 , 23 25 28 33 44 49 46 
 Wednesday10th March 2010 , 1 6 13 23 29 34 37 
 Saturday6th March 2010 , 6 13 27 28 34 42 43 
 Wednesday3rd March 2010 , 18 27 32 35 44 47 23 
 Saturday27th February 2010 , 7 14 17 42 44 45 47 
 Wednesday24th February 2010 , 3 11 18 23 38 49 34 
 Saturday20th February 2010 , 8 24 27 31 34 36 19 
 Wednesday17th February 2010 , 3 22 27 31 38 49 45 
 Saturday13th February 2010 , 16 22 24 30 39 44 9 
 Wednesday10th February 2010 , 5 7 15 37 42 44 3 
 Saturday6th February 2010 , 3 12 15 17 22 29 5 
 Wednesday3rd February 2010 , 3 11 12 20 21 28 31 
 Saturday30th January 2010 , 2 3 4 19 23 40 22 
 Wednesday27th January 2010 , 1 4 7 11 13 27 12 
 Saturday23rd January 2010 , 3 7 8 16 19 30 9 
 Wednesday20th January 2010 , 2 16 17 18 27 28 43 
 Saturday16th January 2010 , 4 7 10 14 27 42 25 
 Wednesday13th January 2010 , 6 8 14 16 21 43 19 
 Saturday9th January 2010 , 20 24 33 34 37 48 25 
 Wednesday6th January 2010 , 4 16 18 43 45 49 23 
 Saturday2nd January 2010 , 26 29 30 42 43 47 18 
 Saturday31st December 2011 , 7 11 37 38 42 44 2 
 Wednesday28th December 2011 , 8 11 13 17 48 49 19 
 Saturday24th December 2011 , 1 15 23 32 36 43 19 
 Wednesday21st December 2011 , 7 28 30 34 38 45 6 
 Saturday17th December 2011 , 1 22 35 39 42 48 12 
 Wednesday14th December 2011 , 3 10 25 28 30 43 31 
 Saturday10th December 2011 , 16 21 24 29 30 39 20 
 Wednesday7th December 2011 , 10 14 27 31 32 47 41 
 Saturday3rd December 2011 , 1 30 35 47 48 49 8 
 Wednesday30th November 2011 , 13 23 24 25 26 30 4 
 Saturday26th November 2011 , 13 16 25 26 36 46 15 
 Wednesday23rd November 2011 , 4 11 19 22 31 48 6 
 Saturday19th November 2011 , 1 29 31 32 34 36 45 
 Wednesday16th November 2011 , 10 12 26 27 39 40 20 
 Saturday12th November 2011 , 6 12 13 28 33 38 10 
 Wednesday9th November 2011 , 2 8 10 23 27 32 44 
 Saturday5th November 2011 , 14 16 23 24 27 39 43 
 Wednesday2nd November 2011 , 11 12 33 37 38 49 3 
 Saturday29th October 2011 , 5 9 14 28 46 49 45 
 Wednesday26th October 2011 , 4 23 34 38 39 41 27 
 Saturday22nd October 2011 , 20 27 28 34 43 44 1 
 Wednesday19th October 2011 , 13 14 18 32 34 49 20 
 Saturday15th October 2011 , 7 12 27 34 41 46 14 
 Wednesday12th October 2011 , 13 24 25 26 37 40 30 
 Saturday8th October 2011 , 6 16 22 26 30 34 45 
 Wednesday5th October 2011 , 9 15 17 29 30 39 11 
 Saturday1st October 2011 , 4 15 17 26 37 41 29 
 Wednesday28th September 2011 , 15 19 25 36 44 45 43 
 Saturday24th September 2011 , 10 16 29 34 37 47 31 
 Wednesday21st September 2011 , 11 15 32 33 37 39 28 
 Saturday17th September 2011 , 2 3 6 41 44 45 10 
 Wednesday14th September 2011 , 23 28 29 37 38 42 49 
 Saturday10th September 2011 , 5 7 9 10 22 47 37 
 Wednesday7th September 2011 , 4 29 31 36 38 48 35 
 Saturday3rd September 2011 , 4 17 20 26 29 36 31 
 Wednesday31st August 2011 , 5 26 43 46 47 49 28 
 Saturday27th August 2011 , 6 7 29 32 41 46 49 
 Wednesday24th August 2011 , 11 27 46 47 48 49 42 
 Saturday20th August 2011 , 2 3 18 30 34 35 24 
 Wednesday17th August 2011 , 3 19 32 40 47 48 37 
 Saturday13th August 2011 , 5 30 31 33 35 45 3 
 Wednesday10th August 2011 , 2 4 7 27 43 44 45 
 Saturday6th August 2011 , 1 14 18 24 26 28 19 
 Wednesday3rd August 2011 , 18 19 26 39 40 47 4 
 Saturday30th July 2011 , 4 10 29 32 34 40 48 
 Wednesday27th July 2011 , 4 16 22 34 39 42 35 
 Saturday23rd July 2011 , 1 2 11 30 33 45 39 
 Wednesday20th July 2011 , 6 10 15 32 42 49 4 
 Saturday16th July 2011 , 4 9 13 15 18 40 30 
 Wednesday13th July 2011 , 7 11 15 18 19 49 25 
 Saturday9th July 2011 , 1 2 21 24 33 49 39 
 Wednesday6th July 2011 , 26 32 34 35 41 48 1 
 Saturday2nd July 2011 , 10 18 34 35 39 48 6 
 Wednesday29th June 2011 , 5 6 13 21 31 47 30 
 Saturday25th June 2011 , 5 9 15 30 32 39 31 
 Wednesday22nd June 2011 , 16 22 23 36 45 48 19 
 Saturday18th June 2011 , 3 8 10 35 38 39 31 
 Wednesday15th June 2011 , 9 25 29 32 37 38 28 
 Saturday11th June 2011 , 9 11 35 37 40 45 26 
 Wednesday8th June 2011 , 3 19 36 40 43 48 21 
 Saturday4th June 2011 , 7 21 25 32 43 44 27 
 Wednesday1st June 2011 , 2 7 9 18 38 45 42 
 Saturday28th May 2011 , 2 3 17 23 40 43 31 
 Wednesday25th May 2011 , 7 8 17 30 46 48 34 
 Saturday21st May 2011 , 4 17 23 24 30 35 5 
 Wednesday18th May 2011 , 6 15 20 36 38 42 4 
 Saturday14th May 2011 , 8 18 27 28 46 48 44 
 Wednesday11th May 2011 , 17 30 33 34 38 48 9 
 Saturday7th May 2011 , 17 18 24 29 35 48 3 
 Wednesday4th May 2011 , 2 3 7 17 21 32 1 
 Saturday30th April 2011 , 1 6 12 29 36 44 21 
 Wednesday27th April 2011 , 6 15 27 32 37 44 3 
 Saturday23rd April 2011 , 5 6 18 36 44 49 10 
 Wednesday20th April 2011 , 3 5 8 9 18 44 42 
 Saturday16th April 2011 , 4 34 40 41 44 49 46 
 Wednesday13th April 2011 , 1 14 25 33 34 43 15 
 Saturday9th April 2011 , 6 8 17 21 39 47 22 
 Wednesday6th April 2011 , 7 11 13 14 38 41 45 
 Saturday2nd April 2011 , 12 14 32 44 48 49 25 
 Wednesday30th March 2011 , 10 16 17 21 39 41 47 
 Saturday26th March 2011 , 2 9 16 21 31 44 38 
 Wednesday23rd March 2011 , 6 18 23 26 32 44 34 
 Saturday19th March 2011 , 10 26 28 34 35 39 17 
 Wednesday16th March 2011 , 2 15 16 18 47 48 21 
 Saturday12th March 2011 , 7 17 19 29 30 38 40 
 Wednesday9th March 2011 , 9 11 37 40 41 49 33 
 Saturday5th March 2011 , 4 13 23 29 41 43 49 
 Wednesday2nd March 2011 , 1 25 27 41 46 49 4 
 Saturday26th February 2011 , 6 8 20 29 34 36 43 
 Wednesday23rd February 2011 , 1 8 15 21 31 39 32 
 Saturday19th February 2011 , 6 16 26 32 34 46 33 
 Wednesday16th February 2011 , 5 11 15 26 29 32 49 
 Saturday12th February 2011 , 16 24 27 28 30 36 35 
 Wednesday9th February 2011 , 2 6 8 9 36 39 29 
 Saturday5th February 2011 , 33 34 37 40 41 47 5 
 Wednesday2nd February 2011 , 2 17 20 42 46 48 44 
 Saturday29th January 2011 , 5 20 25 30 36 47 15 
 Wednesday26th January 2011 , 14 17 20 43 47 49 31 
 Saturday22nd January 2011 , 4 14 18 24 41 44 25 
 Wednesday19th January 2011 , 9 18 34 41 42 43 33 
 Saturday15th January 2011 , 7 8 21 24 33 34 2 
 Wednesday12th January 2011 , 11 12 17 19 24 47 37 
 Saturday8th January 2011 , 13 14 32 35 41 47 46 
 Wednesday5th January 2011 , 4 10 35 36 43 46 6 
 Saturday1st January 2011 , 4 9 33 34 36 45 26 
 Saturday29th December 2012 , 6 8 31 37 40 48 36 
 Wednesday26th December 2012 , 3 11 17 39 47 49 34 
 Saturday22nd December 2012 , 4 14 28 34 43 44 13 
 Wednesday19th December 2012 , 4 26 33 41 48 49 19 
 Saturday15th December 2012 , 6 19 22 23 28 29 18 
 Wednesday12th December 2012 , 9 15 18 33 38 44 16 
 Saturday8th December 2012 , 29 33 35 36 45 48 27 
 Wednesday5th December 2012 , 3 4 14 31 48 49 45 
 Saturday1st December 2012 , 5 27 31 32 38 49 1 
 Wednesday28th November 2012 , 14 28 37 38 45 48 18 
 Saturday24th November 2012 , 2 4 27 34 39 44 37 
 Wednesday21st November 2012 , 4 12 19 22 36 40 44 
 Saturday17th November 2012 , 17 19 20 21 25 26 14 
 Wednesday14th November 2012 , 14 15 17 29 30 33 37 
 Saturday10th November 2012 , 10 23 24 25 30 37 45 
 Wednesday7th November 2012 , 14 19 35 36 40 45 48 
 Saturday3rd November 2012 , 5 7 9 17 20 45 10 
 Wednesday31st October 2012 , 7 30 32 36 40 41 45 
 Saturday27th October 2012 , 7 14 20 30 33 46 27 
 Wednesday24th October 2012 , 1 10 19 36 47 48 11 
 Saturday20th October 2012 , 9 10 24 37 39 40 36 
 Wednesday17th October 2012 , 4 7 19 21 39 49 26 
 Saturday13th October 2012 , 14 26 30 32 36 48 15 
 Wednesday10th October 2012 , 15 19 23 29 30 46 2 
 Saturday6th October 2012 , 1 11 16 18 27 42 4 
 Wednesday3rd October 2012 , 3 9 11 29 45 46 19 
 Saturday29th September 2012 , 1 6 7 8 25 42 39 
 Wednesday26th September 2012 , 6 8 11 39 40 43 22 
 Saturday22nd September 2012 , 10 13 29 31 36 45 44 
 Wednesday19th September 2012 , 5 14 19 23 33 48 40 
 Saturday15th September 2012 , 14 18 19 35 44 45 33 
 Wednesday12th September 2012 , 14 16 21 22 24 41 32 
 Saturday8th September 2012 , 8 15 21 26 28 32 29 
 Wednesday5th September 2012 , 17 22 26 27 39 41 43 
 Saturday1st September 2012 , 15 30 36 39 41 49 2 
 Wednesday29th August 2012 , 4 7 12 28 32 37 14 
 Saturday25th August 2012 , 12 18 23 31 44 48 40 
 Wednesday22nd August 2012 , 3 11 23 28 30 48 29 
 Saturday18th August 2012 , 21 27 38 42 44 46 41 
 Wednesday15th August 2012 , 10 14 35 36 37 46 43 
 Saturday11th August 2012 , 1 5 14 18 34 44 23 
 Wednesday8th August 2012 , 6 14 19 22 30 36 23 
 Saturday4th August 2012 , 8 10 15 21 23 45 43 
 Wednesday1st August 2012 , 13 20 24 27 33 39 6 
 Saturday28th July 2012 , 7 10 22 29 43 44 26 
 Wednesday25th July 2012 , 8 14 15 22 41 48 43 
 Saturday21st July 2012 , 5 14 20 40 41 42 8 
 Wednesday18th July 2012 , 11 26 34 38 40 46 7 
 Saturday14th July 2012 , 13 27 29 42 43 46 28 
 Wednesday11th July 2012 , 12 19 28 29 38 49 30 
 Saturday7th July 2012 , 5 22 23 30 33 45 6 
 Wednesday4th July 2012 , 3 9 14 19 34 38 36 
 Saturday30th June 2012 , 1 18 19 24 30 38 41 
 Wednesday27th June 2012 , 10 22 29 39 46 47 9 
 Saturday23rd June 2012 , 3 25 28 30 39 45 5 
 Wednesday20th June 2012 , 6 10 12 30 36 49 4 
 Saturday16th June 2012 , 3 19 21 37 40 49 35 
 Wednesday13th June 2012 , 12 25 29 34 45 47 16 
 Saturday9th June 2012 , 5 14 24 26 37 44 30 
 Wednesday6th June 2012 , 9 17 20 27 37 41 3 
 Saturday2nd June 2012 , 16 18 20 25 29 34 15 
 Wednesday30th May 2012 , 7 14 25 33 45 48 11 
 Saturday26th May 2012 , 2 6 7 15 25 44 45 
 Wednesday23rd May 2012 , 3 4 18 24 44 49 17 
 Saturday19th May 2012 , 1 19 39 40 42 46 22 
 Wednesday16th May 2012 , 5 6 21 41 48 49 37 
 Saturday12th May 2012 , 1 5 18 21 23 33 20 
 Wednesday9th May 2012 , 2 7 8 10 22 23 46 
 Saturday5th May 2012 , 4 13 17 26 27 40 36 
 Wednesday2nd May 2012 , 18 22 25 35 39 41 31 
 Saturday28th April 2012 , 1 3 9 23 37 46 6 
 Wednesday25th April 2012 , 8 13 18 21 40 44 42 
 Saturday21st April 2012 , 10 23 25 34 41 47 30 
 Wednesday18th April 2012 , 7 8 16 22 24 28 48 
 Saturday14th April 2012 , 1 5 15 22 26 42 40 
 Wednesday11th April 2012 , 20 27 33 41 44 46 12 
 Saturday7th April 2012 , 12 16 23 25 31 42 18 
 Wednesday4th April 2012 , 9 23 26 33 40 44 31 
 Saturday31st March 2012 , 2 5 18 40 47 49 19 
 Wednesday28th March 2012 , 3 8 16 22 38 39 26 
 Saturday24th March 2012 , 6 24 27 31 39 45 32 
 Wednesday21st March 2012 , 10 14 21 25 39 45 40 
 Saturday17th March 2012 , 1 3 16 20 37 40 15 
 Wednesday14th March 2012 , 14 15 18 26 31 36 48 
 Saturday10th March 2012 , 1 3 12 23 37 43 33 
 Wednesday7th March 2012 , 2 8 11 28 35 44 17 
 Saturday3rd March 2012 , 7 20 23 28 31 40 42 
 Wednesday29th February 2012 , 13 14 29 41 46 49 43 
 Saturday25th February 2012 , 7 25 26 27 29 32 33 
 Wednesday22nd February 2012 , 7 12 15 35 43 49 8 
 Saturday18th February 2012 , 2 19 22 30 33 41 24 
 Wednesday15th February 2012 , 9 28 30 33 40 44 16 
 Saturday11th February 2012 , 1 23 24 31 45 49 6 
 Wednesday8th February 2012 , 7 13 16 31 36 44 26 
 Saturday4th February 2012 , 4 7 40 41 45 48 46 
 Wednesday1st February 2012 , 7 17 21 22 38 39 3 
 Saturday28th January 2012 , 10 12 25 28 31 40 1 
 Wednesday25th January 2012 , 2 8 26 30 39 45 46 
 Saturday21st January 2012 , 5 17 32 39 42 49 19 
 Wednesday18th January 2012 , 9 22 31 34 35 43 20 
 Saturday14th January 2012 , 7 10 12 15 25 42 33 
 Wednesday11th January 2012 , 2 9 27 33 39 40 45 
 Saturday7th January 2012 , 8 14 15 17 20 47 38 
 Wednesday4th January 2012 , 9 26 28 30 42 43 2 
 Saturday28th December 2013 , 16 24 25 30 34 45 49 
 Wednesday25th December 2013 , 4 8 9 10 21 24 31 
 Saturday21st December 2013 , 12 18 25 28 33 40 17 
 Wednesday18th December 2013 , 2 7 25 35 40 42 13 
 Saturday14th December 2013 , 13 21 24 29 35 41 8 
 Wednesday11th December 2013 , 1 8 10 14 18 37 27 
 Saturday7th December 2013 , 10 12 17 28 30 42 25 
 Wednesday4th December 2013 , 6 12 16 18 21 29 26 
 Saturday30th November 2013 , 9 16 19 31 36 37 15 
 Wednesday27th November 2013 , 15 19 22 25 42 48 14 
 Saturday23rd November 2013 , 12 16 22 35 38 48 15 
 Wednesday20th November 2013 , 5 11 15 23 35 39 44 
 Saturday16th November 2013 , 3 19 21 30 41 47 38 
 Wednesday13th November 2013 , 4 6 15 23 36 44 11 
 Saturday9th November 2013 , 1 2 6 29 32 47 13 
 Wednesday6th November 2013 , 5 6 14 18 29 33 7 
 Saturday2nd November 2013 , 10 28 32 36 37 49 27 
 Wednesday30th October 2013 , 20 23 26 29 34 41 32 
 Saturday26th October 2013 , 10 14 20 22 45 49 9 
 Wednesday23rd October 2013 , 10 18 27 37 41 47 33 
 Saturday19th October 2013 , 3 12 19 21 29 31 15 
 Wednesday16th October 2013 , 12 15 24 26 31 35 36 
 Saturday12th October 2013 , 5 12 21 26 33 45 35 
 Wednesday9th October 2013 , 4 11 27 34 36 45 9 
 Saturday5th October 2013 , 5 15 17 19 20 47 38 
 Wednesday2nd October 2013 , 16 17 21 27 30 37 15 
 Saturday28th September 2013 , 10 12 14 25 46 48 31 
 Wednesday25th September 2013 , 5 7 20 24 30 41 37 
 Saturday21st September 2013 , 11 15 36 37 38 45 9 
 Wednesday18th September 2013 , 2 4 5 17 22 29 14 
 Saturday14th September 2013 , 18 20 24 30 39 48 46 
 Wednesday11th September 2013 , 7 24 27 31 40 41 33 
 Saturday7th September 2013 , 1 11 12 13 35 42 5 
 Wednesday4th September 2013 , 6 7 8 13 24 28 18 
 Saturday31st August 2013 , 4 14 15 17 21 31 48 
 Wednesday28th August 2013 , 1 5 17 19 37 47 11 
 Saturday24th August 2013 , 5 20 26 40 42 48 1 
 Wednesday21st August 2013 , 3 4 27 29 47 49 23 
 Saturday17th August 2013 , 15 25 26 33 34 41 43 
 Wednesday14th August 2013 , 12 18 38 39 45 49 19 
 Saturday10th August 2013 , 14 15 17 26 35 46 18 
 Wednesday7th August 2013 , 3 16 20 26 28 43 15 
 Saturday3rd August 2013 , 3 5 9 13 17 37 15 
 Wednesday31st July 2013 , 10 16 33 38 40 44 32 
 Saturday27th July 2013 , 12 13 18 39 43 49 37 
 Wednesday24th July 2013 , 22 26 30 40 42 47 4 
 Saturday20th July 2013 , 1 3 17 19 39 42 31 
 Wednesday17th July 2013 , 6 24 33 38 42 43 11 
 Saturday13th July 2013 , 12 15 24 36 45 49 32 
 Wednesday10th July 2013 , 3 9 10 16 20 22 35 
 Saturday6th July 2013 , 16 24 27 39 45 49 44 
 Wednesday3rd July 2013 , 15 27 31 40 41 49 1 
 Saturday29th June 2013 , 7 13 25 31 34 45 4 
 Wednesday26th June 2013 , 8 11 29 34 40 41 35 
 Saturday22nd June 2013 , 8 24 26 28 36 43 34 
 Wednesday19th June 2013 , 6 9 13 35 36 47 31 
 Saturday15th June 2013 , 3 4 16 20 33 44 27 
 Wednesday12th June 2013 , 2 7 10 15 17 28 24 
 Saturday8th June 2013 , 8 9 13 17 41 43 14 
 Wednesday5th June 2013 , 10 18 35 38 41 43 21 
 Saturday1st June 2013 , 11 13 24 32 34 47 9 
 Wednesday29th May 2013 , 3 5 25 33 34 35 14 
 Saturday25th May 2013 , 5 6 26 30 33 40 43 
 Wednesday22nd May 2013 , 10 23 35 39 45 46 1 
 Saturday18th May 2013 , 3 5 24 31 48 49 15 
 Wednesday15th May 2013 , 4 5 6 20 30 35 34 
 Saturday11th May 2013 , 9 12 24 25 26 43 3 
 Wednesday8th May 2013 , 12 15 20 31 33 40 38 
 Saturday4th May 2013 , 11 12 22 27 40 44 37 
 Wednesday1st May 2013 , 7 8 11 12 39 42 2 
 Saturday27th April 2013 , 1 13 25 39 41 44 26 
 Wednesday24th April 2013 , 9 11 16 17 18 38 47 
 Saturday20th April 2013 , 8 34 38 42 44 46 14 
 Wednesday17th April 2013 , 12 14 16 18 20 33 35 
 Saturday13th April 2013 , 3 13 23 27 41 49 6 
 Wednesday10th April 2013 , 3 16 27 33 36 42 12 
 Saturday6th April 2013 , 11 21 22 41 47 48 36 
 Wednesday3rd April 2013 , 5 11 21 32 42 48 28 
 Saturday30th March 2013 , 8 15 24 40 43 45 33 
 Wednesday27th March 2013 , 8 10 22 24 37 44 2 
 Saturday23rd March 2013 , 3 14 16 19 37 44 31 
 Wednesday20th March 2013 , 4 11 14 27 43 46 42 
 Saturday16th March 2013 , 1 11 12 27 48 49 19 
 Wednesday13th March 2013 , 6 8 21 23 41 46 5 
 Saturday9th March 2013 , 12 19 25 36 44 46 18 
 Wednesday6th March 2013 , 3 9 14 38 42 47 19 
 Saturday2nd March 2013 , 6 9 23 31 35 48 11 
 Wednesday27th February 2013 , 2 14 20 23 24 30 22 
 Saturday23rd February 2013 , 2 16 25 30 31 32 36 
 Wednesday20th February 2013 , 3 6 36 44 45 48 47 
 Saturday16th February 2013 , 7 20 27 39 46 48 49 
 Wednesday13th February 2013 , 6 14 20 23 29 49 48 
 Saturday9th February 2013 , 8 10 27 34 40 41 48 
 Wednesday6th February 2013 , 9 10 16 18 27 42 43 
 Saturday2nd February 2013 , 2 12 13 14 21 30 39 
 Wednesday30th January 2013 , 9 10 24 43 47 48 5 
 Saturday26th January 2013 , 2 6 21 29 34 47 11 
 Wednesday23rd January 2013 , 6 10 14 24 32 41 29 
 Saturday19th January 2013 , 5 9 13 16 35 39 11 
 Wednesday16th January 2013 , 5 12 13 35 38 47 45 
 Saturday12th January 2013 , 3 7 11 12 24 27 13 
 Wednesday9th January 2013 , 5 21 24 25 39 48 32 
 Saturday5th January 2013 , 10 15 17 21 37 47 2 
 Wednesday2nd January 2013 , 7 9 20 21 30 37 42 
 Wednesday31st December 2014 , 12 18 22 37 38 49 35 
 Saturday27th December 2014 , 11 23 28 30 32 46 49 
 Wednesday24th December 2014 , 7 9 13 44 47 48 22 
 Saturday20th December 2014 , 18 22 23 32 40 42 28 
 Wednesday17th December 2014 , 2 19 24 33 35 46 12 
 Saturday13th December 2014 , 18 30 33 34 38 48 36 
